Municipality,PROJECT_ID,AREA,RAINFALL,LAKEPERC,MORAIPERC,RIVERPERC,CLAYPERC,GRAVELPERC,PEATPERC,ROCKPERC,FORESTPERC,HEATSUM,FARMEDPERC,FIELDPERC,INCOME,nay100ha,TAXES,pop1945,HeightRANGE,HeightMEAN,HtMEDIAN,CentroidE,CentroidN
Keikyä,136,49261,585.645,0.81,40.06,3.35,24.06,0.74,2.13,27.07,58.283,1207.04,26.9,30.236,21.25,14,123.19,1959,73,81.69518717,85,22.6857681,61.29029494
Keitele,137,46372,578.794,17.43,64.78,14.1,1.01,1.16,15.49,0.34,84.002,1097.55,3.4,4.118,11.31,265,125.23,4189,116,128.9028995,128,26.31491843,63.19708357
Kemi,139,57329,517.691,0.32,48.41,11.34,0,21.14,21.71,5.37,85.407,944.74,2.5,3.159,47.39,284,439.96,22448,108,36.80092593,37,24.70681178,65.85053314
Kemijärvi,140,346595,486.866,9.88,61.88,9.81,0,3.86,19.93,3.76,85.52,806.24,0.7,2.509,24.32,312,240.68,9747,323,205.524106,197,27.37618068,66.6965099
Kempele,141,12683,504.366,0.4,11.01,5.28,32.86,35.66,20.47,0,65.003,1046.46,9,8.306,14.57,140,196.72,1744,41,22.81694915,24,25.57760712,64.8995458
Kerimäki,142,94698,544.395,40.9,45.57,5.77,0.12,7.57,6.04,0.74,83.159,1206.89,7.2,6.961,12.68,104,113.79,7612,87,83.72951583,84,29.28658439,61.96916672
Kestilä,143,52660,546.294,0.82,41.61,14.77,14.32,4.9,38.54,0.18,64.494,1004.42,3.8,6.641,8.3,148,100.28,3373,83,119.199308,118,26.37464975,64.3210058
Kesälahti,144,37187,546.63,37.1,24.89,5.67,0.98,29.56,8.2,0,76.036,1219.92,6.2,5.315,11.13,138,87.93,3917,74,79.61958042,78,29.7464745,61.93507857
Keuruu,145,110114,595.451,16.87,61.46,12.81,4,4.08,9.3,5.44,84.128,1144.7,4.2,4.161,23.53,153,150.41,8297,130,152.8879968,152,24.66266916,62.25970245
Kihniö,146,111384,546.661,17.55,44.67,12.33,7.02,2.37,25.43,4.24,75.138,1083.53,4.1,15.74,7.89,24,64.98,3720,71,155.5295203,154,23.2425679,62.20599284
Kiihtelysvaara,147,75241,559.586,9.26,46.5,18.8,0.7,27.41,11.86,5.52,81.984,1067.11,5.4,3.537,10.56,123,118.97,3745,146,131.9199717,131,30.30055067,62.4753367
Kiikala,148,24200,635.041,3.41,11.68,21.29,30.79,22.14,7.62,25.47,57.14,1273.29,20.5,26.232,15.87,88,131.83,3578,104,97.4675835,99,23.52853363,60.46027203
Kiikka,149,22584,586.236,4.76,49.74,10.6,19.81,2.48,12.1,10.6,61.809,1203.2,17.5,24.004,13.87,94,116.53,3750,73,88.39473684,91,22.72939759,61.35650064
Kiikoinen,150,7298,581.69,6.36,55.36,13.05,13.14,0.61,22.65,1.85,65.161,1194.74,29.1,31.477,12.24,106,88.3,2638,62,74.96484375,73,22.56240137,61.47614159
Kiiminki,151,26590,502.603,2.35,49.98,22.11,0,21.09,19.69,6.89,64.946,1034.83,2.8,4.405,9.79,235,101.33,2352,47,57.57700893,59,25.81635971,65.1259027
Kinnula,152,72422,554.75,9.6,65.63,15.85,2.61,2.85,16.96,2.95,85.161,1063.66,3.7,2.139,9.58,86,75.14,2465,98,166.9061033,167,25.02944735,63.33376168
Kirvu,153,64970,592.385,5.57,53.28,8.51,11.43,19.92,2,6.43,67.087,1254.27,7.8,8.942,15.61,158,110.67,8721,112,53.86151079,55,29.32977698,61.0911054
Kisko,154,23129,695.085,14.92,13.62,18.73,22.72,10.04,10.48,30.11,62.814,1292.52,17.6,24.84,16.01,961,139.56,3160,95,61.80495356,63,23.46202386,60.25344365
Kitee,155,95216,560.864,24.83,35.37,6.04,2.91,21.74,15.21,1.71,74.949,1155.81,8,6.572,7.76,145,61.97,11190,125,95.34412082,96,30.0770471,62.05813415
Kittilä,156,805618,421.794,1.64,55.59,12.86,0,11.2,28.21,3.55,77.153,687.96,0.1,-0.128,17.96,972,229.75,6172,598,252.4290821,238,25.0361469,67.81672355
Kiukainen,157,16970,555.283,0.47,38.32,25.75,47.91,4.99,5.64,3.14,64.993,1220.83,31.2,33.456,18.66,92,83.9,4637,40,41.22168675,40,22.03807227,61.22944517
Kiuruvesi,158,131764,555.906,8.62,64.7,12.47,5.61,0.61,19.65,1.29,77.679,1036.67,4.5,3.177,12.11,182,153.29,13395,134,135.6011809,134,26.53631917,63.68170052
Kivennapa,159,73307,604.002,0.86,58.47,9.33,1.59,28.15,10.06,0,75.277,1268.89,7.7,7.994,14.03,144,94.41,9912,151,95.79448457,101,29.83039639,60.35524102
Kivijärvi,160,126421,550.031,23.41,63.87,6.34,0,2.06,7.51,4.05,85.057,1124.75,1.9,1.872,10.79,54,131.78,2473,96,162.5022772,165,25.05366268,63.1538159
Kodisjoki,161,53165,599.298,6.25,27.47,6.52,26.41,0,8.77,32.19,64.999,1247.17,10.5,17.073,5.5,136,50.17,628,40,37.44642857,38,21.70865297,61.02996994
Koijärvi,162,70212,582.793,6.08,40.48,14.19,19,10.62,21.81,2.86,62.848,1199.55,16.3,35.651,20.05,27,139.16,2891,73,136.5123967,136,23.70682272,60.97514858
Koivisto,163,30492,643.374,3.48,5.99,0,8.52,75.81,8.69,0,74.368,1278.79,9.1,7.717,20.03,150,159.25,11993,74,25.14452555,24,28.65721497,60.3929903
Kokemäki,164,33962,569.421,7.84,33.35,6.3,21.37,10.82,11.46,9.7,64.564,1206.57,25.8,26.066,16.36,88,123.77,8693,52,54.67295005,53,22.34832441,61.31251482
Kolari,165,228106,430.409,1.97,53.44,11.43,0,11.52,28.3,3.9,85.33,827.87,0.1,0.402,17.84,635,123.52,3711,547,199.3039178,189,24.15279847,67.24919318
Konginkangas,167,28392,505.023,36.24,55.89,6.25,1.24,3.13,0.88,5.08,85.109,1202.39,5.7,7.226,14.99,133,135.12,2490,117,122.9371782,121,25.83806842,62.81872337
Konnevesi,168,116231,515.61,32.73,60.71,4.44,0.11,0.73,2.2,4.74,85.022,1202.09,6.4,7.539,16.42,75,146.09,4612,125,111.4095386,110,26.31374724,62.69169149
Kontiolahti,169,87932,562.174,26.69,42.9,12.52,1.07,15.86,4.31,8.76,77.831,1102.55,2.8,3.403,17.51,316,163.26,7783,217,119.3185404,117,29.85900434,62.82243503
Kortesjärvi,171,28625,510.702,4.1,59.52,17.91,7.46,3.01,17.02,9.84,65.009,1096.22,13.9,18.83,6.68,101,68.63,3753,53,69.05149051,69,23.19550108,63.27920972
Korpilahti,172,82690,559.869,26.34,45.69,6.28,3.46,4.23,1.3,20.31,85.03,1201.19,6.1,6.95,18.48,146,160.41,6745,174,127.9141274,128,25.6197669,62.01441586
Koski Hl.,176,18570,600.729,5.43,20.97,14.53,37.58,18.45,5.13,12.47,64.408,1205.17,15.7,17.828,17.39,129,146.11,2398,101,134.5603448,133,25.14721025,61.0032315
Koskenpää,177,104500,590.395,14.38,68.45,11.63,2.2,2.27,7.81,6.21,85.214,1190.34,7.8,7.303,14.79,41,150.6,2332,113,137.6531792,134,25.06779665,62.10625693
Koski Tl.,178,18932,623.183,0.18,21.41,20.32,58.33,11.64,2.36,6.26,54.99,1211.22,29.6,37.617,17.07,74,126.99,3512,50,88.97767857,88,23.13085894,60.6604248
Kuhmalahti,179,17330,544.701,28.96,36.16,6.6,12.56,3.94,7.1,11.85,77.013,1208.35,10.9,13.14,13.81,157,101.16,2343,109,124.8477444,122,24.69813721,61.50431239
Kuhmoniemi,180,473920,580.209,15.28,60.81,9.79,0,2.69,18.57,3.84,77.37,975.76,0.4,2.274,16.03,290,116.18,10667,168,200.2289929,200,29.6736496,64.18130377
Kuhmoinen,181,72765,559.486,35.18,36.93,7.38,5.25,3.27,4.3,17.01,84.615,1198.47,5.5,8.105,20.57,190,134.74,5593,136,124.1940747,130,25.17539978,61.61247034
Kuivaniemi,182,103928,500.676,3.28,44.97,15.24,0,13.08,28.69,9.99,74.141,976.65,0.3,2.043,9.51,654,99.62,3295,147,90.00753012,97,25.69390707,65.65283188
Kullaa,183,26958,557.982,9.24,62.54,18.83,5.55,2.44,19.97,1.55,65.081,1181.44,7.7,16.176,17.05,133,95.7,2660,80,57.38082557,54,22.18864481,61.49336364
Kuolemajärvi,184,36761,645.718,8.06,16.93,8.89,2.95,63.03,9.78,0,75.254,1272.3,8.1,7.886,10.64,144,125.29,5686,73,33.58280922,33,28.98478623,60.39676738
Kuopio,185,121685,563.629,45.64,49.27,6.48,1.38,1.53,1.04,4.34,75.959,1188.72,7.1,7.832,33.63,106,314.09,34675,142,98.87146051,89,27.5910561,62.8819235
Kuortane,186,47950,524.93,6.01,44.87,16.19,17.53,3.09,23.54,5.72,64.447,1087.74,13.2,12.995,9.78,83,91.7,5458,132,119.8741093,119,23.51831195,62.78352713
Kuorevesi,187,33110,590.684,14.55,41.75,9.26,9.49,5.75,6.59,22.9,83.439,1199.73,6.5,8.231,13.24,138,122.42,3847,135,139.3860497,139,24.80682365,61.86659358
Kurikka,189,45073,554.525,1.08,42.6,13.03,32.84,2.76,16.41,4.48,64.882,1103.22,25.5,23.763,9.52,65,76.45,10128,154,113.9691252,111,22.35374031,62.59324006
Kurkijoki,190,53773,561.859,0,1.71,4.28,38.02,31.18,18.26,10.31,74.452,1262.64,14.4,15.481,18.98,11311,125.5,10032,103,52.15146299,56,29.87340449,61.370404
Kuru,191,75907,632.056,12.89,56.61,10.9,1.6,2.15,10.78,17.63,78.436,1165.42,3.2,6.298,21.5,162,182.7,4900,130,167.029614,174,23.55141752,61.9782834
Kustavi,192,15565,565.007,0.88,0.9,0,24.47,1.1,0.41,73.12,66.041,1348.67,8.3,21.967,10.19,175,100.14,1845,32,11.89605735,11,21.34116293,60.56360385
Kuusamo,193,905815,521.937,11.78,60.64,6.54,0,5.98,11.29,8.03,77.386,760.66,0.2,0.173,8.54,369,106.47,12036,405,274.2628808,270,29.47597936,66.00528569
Kuusjoki,194,12592,627.217,0.02,3.09,21.11,67.79,1.59,1.1,26.44,54.675,1244.15,35,37.816,17.4,68,145.38,2482,52,88.5037594,87,23.21172762,60.54182742
Kuusjärvi,195,31785,603.599,20.82,44.13,11.79,4.2,19.77,10.22,2.12,80.664,1150.15,5.7,7.051,18.43,229,171.5,9010,106,107.2051527,107,28.92305404,62.70819898
Kylmäkoski,196,9600,564.049,7.55,36.3,16.9,40.15,8.73,5.62,2.64,75.284,1200.18,30.5,34.784,19.8,75,164.49,2443,57,102,100,23.65536807,61.14725759
Kymi,197,23584,600.266,0.07,26.67,7.36,20.04,11.78,8.44,26.15,64.679,1292.63,13.2,14.16,36.44,113,225.59,21671,71,22.29166667,21,26.88298166,60.57150934
Kyyjärvi,198,126901,555.023,4.88,48.72,12.99,9.12,4.28,33.16,0.35,85.271,1010.98,4.7,4.055,10.82,41,75.71,2222,84,190.9882353,191,24.55751205,63.05678129
Käkisalmi,199,17861,530.352,14.4,47.07,2.41,2.32,24.84,3.08,2.47,66.008,1255.07,11.6,12.17,44.82,134,315.67,10658,61,17.25454545,12,30.10168167,60.98873365
Kälviä,200,67450,518.39,3.4,54.9,16.72,5.78,3.79,31.72,0.58,68.854,1040.58,3.8,6.679,15.54,135,134.76,3611,159,79.00055249,73,23.77482871,63.74771628
Kärkölä,201,25045,636.775,1.47,24.18,17.71,42.1,12.99,12.19,7.32,65.059,1216.96,16.7,24.977,26.85,120,143.86,4520,72,103.3538961,100,25.26383179,60.85889112
Kärsämäki,202,68754,502.997,0.36,45.16,13.99,15.76,1.09,36.82,1,68.439,989.61,2.4,3.733,8.77,186,91.38,4334,77,125.0519272,125,25.86092544,63.96062012
Köyliö,203,24560,591.353,7.28,25.28,15.18,16.62,27.26,15.93,8.05,65.132,1219,15.1,22.054,12.2,102,115.6,3632,81,70.37824675,73,22.38530249,61.12896295
Laihia,204,80134,562.997,1.41,56.09,16.08,17.97,1.92,19.58,3.03,65.016,1098.18,11,18.3,13.95,77,109.53,6563,147,55.0838964,48,21.99411778,62.8491896
Laitila,205,53165,621.376,2.93,25.18,17.92,14.63,3.38,23.77,31.08,64.99,1245.38,10.5,17.622,11.37,1535,95.5,8638,65,32.95399516,32,21.77854344,60.8884185
Lammi,206,51850,591.931,15.19,41.65,14.31,16.71,14.47,10.48,3.34,69.819,1199.35,13.5,12.854,20.38,127,228.27,6958,105,137.1827068,141,25.01949808,61.13937984
Lapinjärvi,207,33140,601.222,2.49,32.63,24.15,47.28,3.8,3.58,10.22,64.111,1254.58,23.1,24.193,19.38,85,148.21,4923,88,32.4779319,30,26.19126955,60.63874923
Lapinlahti,208,61228,546.42,19.13,60.54,12.15,8.94,3.61,7.57,0.99,79.039,1105.73,5.8,7.196,12.91,244,138.11,9582,140,128.4620011,132,27.45440313,63.34851174
Lappajärvi,209,45780,490.811,20.69,44.88,6,10.5,2.49,18.12,3.41,64.552,1101.97,14.6,14.196,9.18,74,100.97,5529,59,91.62749446,92,23.59604907,63.19017992
Lappee,210,59170,599.973,16.59,28.86,12.09,16.72,14.35,7.99,16.68,75.336,1274.18,10.1,11.593,39.07,136,277.76,30821,84,69.11804767,68,28.18623283,60.98576774
Lappi Tl,211,20221,590.579,5.98,20.8,25.26,16.91,1.22,14.44,41.67,64.997,1239.23,15,17.22,12.47,123,91.93,3432,51,44.2,43,21.85945378,61.07905835
Lapua,212,80160,505.017,2.07,40.66,14.35,27.28,2.55,18.94,8.58,64.917,1102.85,24.5,23.524,12.12,61,124.66,13655,107,73.51572327,75,23.15093155,62.94505183
Lapväärtti,213,38041,554.434,3.4,46.45,19.51,20.32,1.47,6.89,21.44,64.91,1136.33,12.3,12.833,10.61,113,81.15,4945,126,40.67894131,38,21.56635702,62.19513559
Laukaa,214,91714,550.242,22.68,50.31,6.52,7.78,9.23,1.07,5.82,84.878,1195.41,7.4,7.138,25.4,97,217.6,10744,166,116.2496285,111,25.99966146,62.39029858
Lavia,216,32469,590.719,14.32,43.99,16.03,18.23,0.45,12.2,12,64.727,1182.07,9.7,13.064,10.21,130,89.31,5084,85,81.50749712,81,22.49003633,61.60691797
Lehtimäki,217,30590,529.108,7.36,45.31,7.23,4.68,4.68,37.4,1.59,70.036,1066.74,3.9,5.596,9.72,126,66.64,2604,88,171.7545582,169,23.89494262,62.83612461
Leivonmäki,218,30768,550.231,8.85,64.62,12.34,0.94,8.16,17.63,1.67,85.131,1198.38,4.4,4.437,10.25,171,87.09,2075,112,133.7519126,131,26.13871428,61.9347803
Lemi,219,20810,576.295,24.46,38.97,9,12.35,12.6,5.17,7.84,75.088,1291.58,14.3,11.557,13.61,140,75.91,4354,50,85.25080386,87,27.7922373,61.07461564
Lempäälä,222,25700,557.126,16.97,41.76,12.39,21.77,1.55,7.79,11.05,72.339,1204.2,18.6,32.145,26.14,97,198.47,5177,91,111.3655914,112,23.77873265,61.34612936
Lemu,223,3600,620.189,0,0.67,6.86,60.55,0,0,38.78,64.998,1327.9,35.3,35.528,18.47,97,55.37,851,33,20.52631579,21,21.96084808,60.57226909
Leppävirta,224,111932,591.478,34.52,58.38,7.48,0.59,1.55,0.75,6.04,82.509,1199.68,7.7,7.478,30.53,161,241.54,12302,139,101.3306533,99,27.92267618,62.51056755
Lestijärvi,225,66048,549.439,12.75,47.92,10.25,2.89,5.84,30.26,0.91,86.1,1007.43,1.4,3.121,15.83,119,96.97,1470,70,160.7404762,161,24.66475289,63.49817488
Lieto,226,21471,630.765,0.28,0.68,19.79,55.87,4.52,1.24,37.42,64.608,1272.7,31.8,36.644,27.72,721,205.72,4190,73,46.04661017,47,22.50331655,60.53445104
Liljendal,228,10944,603.984,7.32,41.47,22.53,35.98,5.21,0.93,9.07,63.346,1250.3,25.6,24.162,21.4,87,140.7,1809,64,30.55686275,30,26.05987828,60.58035153
Liminka,229,60150,502.861,0.64,33.01,12.45,30.88,9.06,26.75,0,65.011,1045.84,7.7,7.766,14.36,102,162.97,3788,66,31.62329486,37,25.41608788,64.75515564
Liperi,230,75372,555.501,40.98,31.09,6.04,9.64,14.15,1.58,4.01,74.689,1169.72,7.6,6.577,12.34,162,123.98,10842,116,87.08934817,84,29.3653877,62.5576953
Lohja,231,25892,727.841,33.47,12.06,8.75,27.4,8.81,1.27,20.2,63.12,1307.02,25,27.341,47.9,98,366.47,13125,79,56.06982544,56,24.02061228,60.26472622
Lohtaja,232,42635,506.381,0.34,27.67,18.73,12.42,43.13,13.99,2.79,64.998,1048.96,6.2,7.503,11.35,123,79.46,3118,93,38.48335388,40,23.56536019,63.96030129
Loimaa,233,51445,612.715,0.16,16.66,24.45,75.02,2.41,3.95,1.96,54.597,1193.04,39.4,34.79,28.94,46,192.73,10754,61,88.1836969,86,22.99403231,60.87691665
Lokalahti,234,8784,604.71,5.26,2.16,6.37,27.33,4.93,0.92,61.26,65.054,1276.84,18.7,25.716,11.3,133,95.32,1667,28,13.79435484,13,21.4683776,60.68164141
Loppi,235,58668,627.504,11.25,41.41,18.22,10.42,23.47,13.02,2.79,71.395,1238.68,11.3,12.883,21.29,126,145.36,7811,107,125.6529563,125,24.33756892,60.69166788
Luhanka,236,21460,547.588,37.27,29.78,2.28,0.24,1.6,0.5,30.84,85.019,1203.86,4.8,7.444,16.49,256,147.3,2251,133,107.4828042,104,25.69204656,61.78224513
Lumijoki,237,30842,499.085,0,12.76,8.72,14.39,58.89,13.95,0,64.969,1049.76,4,7.71,11.91,213,115.55,1854,56,19.85867621,17,25.12081827,64.83218411
Lumivaara,238,77680,555.309,0,15.77,7.09,8.37,55.88,4.53,14.42,81.09,1259.26,11.3,13.347,12.04,422,87.48,5239,98,48.64006024,55,30.06260975,61.42467673
Luopioinen,239,29210,546.549,25.12,42.71,5.94,7.84,5.14,6.27,14.05,74.15,1208.8,13.1,12.536,17.59,134,171.02,5325,94,116.2613909,115,24.73236084,61.37070462
Luumäki,240,72056,585.02,17.86,41.01,17.89,6.27,12.45,14.75,9.61,76.859,1272.68,6.1,8.161,12.73,166,100.41,6214,79,79.85651751,78,27.52352898,60.94020924
Luvia,241,15314,528.192,2.56,65.93,18.14,15.79,8.65,4.84,2.66,65.004,1182.54,13.7,19.452,23.76,127,96.99,2778,59,28.3359375,25,21.63888206,61.36038356
Längelmäki,242,32994,566.353,23.34,28.56,11.6,16.67,1.69,2.43,29.94,75.569,1206.25,9.9,13.142,16.83,141,102.29,4175,122,131.9421721,130,24.68765923,61.70003197
Maaninka,243,42412,541.609,25.89,57.93,8.87,10.38,3.03,3.77,0.65,76.432,1108.13,11.8,10.71,14.01,162,185.32,5678,121,100.6635071,89,27.22104932,63.15015722
Maaria,244,9990,627.616,0,3.42,23.83,54.47,13.2,1.82,27.09,64.983,1299.95,33.7,37.733,45.6,635,375.77,962,47,29.95833333,32,22.31478695,60.50806622
Marttila,246,27664,628.217,0,16.39,20.83,51.9,5.3,7.35,19.05,54.555,1237.26,25,36.814,18.55,53,135.38,2801,68,75.29957806,74,22.93947156,60.60264657
Masku,247,8383,622.602,0,3.16,25.52,51.46,7.25,1.39,36.74,65,1316.74,32,36.96,18.71,83,94.89,1423,50,25.42788462,25,22.09262415,60.54809245
Mellilä,249,51445,620.549,0,17.63,15.67,62.3,4.79,11.98,3.3,54.831,1198.36,39.4,36.221,24.25,16,170.81,2241,42,87.09589041,86,22.99620789,60.75597706
Merijärvi,250,20730,500.719,0.46,51.56,16.9,6.02,0,20.45,21.97,65.006,1043.31,2.8,5.506,10.81,311,108.65,2335,81,59.3216,56,24.50708841,64.30455421
Merikarvia,251,41754,552.003,1.63,68.69,19.64,7.94,1.14,15.76,5.76,64.993,1145.95,6,7.188,8.07,181,95.52,7064,70,33.07892204,33,21.59023162,61.90324198
Merimasku,252,4532,603.583,2.6,0,0,38.33,1.21,0,58.53,65.095,1350,20.1,37.788,12.59,1221,115.44,740,51,19.76146789,18,21.86408016,60.46271868
Messukylä,253,14082,598.466,22.71,20.62,15.81,29.87,4.76,3.71,18.77,74.395,1206.24,23.6,26.137,39.29,35,346.62,8009,87,110.6761566,111,23.83906437,61.48386662
Metsämaa,254,9158,604.862,0.01,30.66,16.37,41.75,5.28,13.56,8.75,54.902,1192.78,25.2,36.931,19.58,94,179.18,1690,60,107.1609195,107,23.18368373,60.94637791
Metsäpirtti,255,18722,626.477,0,28.5,12.83,6.43,58.63,4.33,0,75.259,1251.52,9.3,11.869,11.87,181,84.18,4822,65,26.34,24,30.55464991,60.54049649
Miehikkälä,256,39105,599.978,5.7,27.58,23.14,17.64,5.25,10.59,34.73,75.219,1264.49,7,11.85,16.03,136,117.82,5247,79,44.13294798,45,27.6599275,60.71064678
Mietoinen,257,13575,621.972,0,10.56,21.61,68.36,3.12,0,17.95,64.997,1306.27,23.1,27.113,23.05,89,115.24,1492,44,14.17692308,13,21.88690549,60.62390528
Mikkeli,259,100870,550.189,22.67,57.43,6.66,0.59,2.64,5.15,13.7,76.714,1201.36,8.1,7.669,30.67,178,216.55,24318,91,114.7737542,116,27.20420225,61.76381976
Mouhijärvi,261,26016,599.055,8.33,29.84,17.26,33.62,2.74,6.25,21,68.832,1199.01,16,19.82,15.23,92,116.15,3984,93,103.088968,105,22.96754264,61.51736682
Muhos,262,155400,533.424,3.57,33.36,13.77,0.5,15.5,46.03,1.28,65.715,1001.37,1.4,2.312,12.32,193,149.7,5768,156,87.32834101,88,26.32288547,64.81280431
Multia,263,77676,563.587,6.14,70.74,20.03,0.76,3.86,19.47,0.72,84.531,1073.63,2,3.426,14.99,216,155.36,3917,151,200.4625323,203,24.85914237,62.47696678
Muolaa,264,4551,617.211,12.96,36.38,7.8,2.04,40.23,10.38,0,72.88,1260.39,5.7,7.496,13.79,2581,108.84,11959,116,34.6044648,32,29.39855342,60.52764937
Muonio,265,179225,405.152,6.93,63.6,14.39,0,7.66,17.28,3.54,80.47,740.68,0.2,0.134,21.93,308,140.25,2147,400,273.4450928,264,23.78605534,67.83233978
Muurame,266,82690,562.106,33.78,37.52,4.89,3.8,10.19,0,15.73,84.998,1207.09,6.1,7.452,30.09,36,160.32,2566,145,117.011236,111,25.62943141,62.13940965
Muurla,267,7673,640.014,7.69,4.89,20.48,33.66,22.74,7.94,25.31,63.189,1283.01,25.9,35.284,16.18,1071,156.2,1638,87,53.18297872,54,23.30501183,60.33961873
